1202506040238999990547     ESAP                                                                                         
5268836400        020101                                                                                                
6814002276       CONCEJO MUNICIPA000010018636376204     20250519000001860000000000007200002030000001                    
6802004953       PERSONERIA MUNIC000010019485005974     20250419000002840000000000040100002030000002                    
68001029122      MUNICIPIO VALLE 0000101333579388       20250515000004860000000000038100002030000003                    
6890201900       ALCALDIA MUNICIP000010137973181011     20250515000001130000000013063100002030000004                    
69002344231      CONCEJO MUNICIPA0000104033638032       20250515000001860000000000007200002030000005                    
6890208199       MUNICIPIO DEL PL000010667972832116     20250515000001660000000000012400002030000006                    
69008237383      PERSONERIA MUNIC0000104033637430       20250515000002860000000000038300002030000007                    
6890208199       MUNICIPIO DEL PL000010667972831322     20250515000001660000000000041100002030000008                    
69009683011      PERSONERIA MUNIC0000101333532873       20250515000001860000000000029900002030000009                    
6890208199       MUNICIPIO DEL PL000010667972831829     20250515000001660000000000143800002030000010                    
6890201900       ALCALDIA MUNICIP000010137973214394     20250515000001130000000000349300002030000011                    
6890981106       MUNICIPIO DE VAL000010017973475686     20250515000001010000000000016300002030000012                    
6890981106       MUNICIPIO DE VAL000010017973471591     20250515000001010000000000029900002030000013                    
6890208199       MUNICIPIO DEL PL000010667972828089     20250515000001660000000000210800002030000014                    
68000310757      MUNICIPIO DE MIS0000104033584671       20250515000030860000000000475500002030000015                    
68900016391      GOBERNACION DEL 0000102333585202       20250515000002860000000000039400002030000016                    
68280025312      ASAMBLEA DEPARTA0000102333637678       20250515000005860000000000112600002030000017                    
68900016391      GOBERNACION DEL 0000102333585229       20250515000001860000000000047300002030000018                    
6890502611       ALCALDIA MUNICIP000010407973179696     20250515000001400000000000260200002030000019                    
6890201900       ALCALDIA MUNICIP000010137973193753     20250515000001130000000003933200002030000020                    
6890981106       MUNICIPIO DE VAL000010017973559480     20250515000001010000000000534100002030000021                    
68900016391      GOBERNACION DEL 0000102333572068       20250515000011860000000001057100002030000022                    
6800193022       CONTRALORIA GENE000010137973738921     20250515000001130000000000449100002030000023                    
6890701342       MUNICIPIO DE SAN000010017973800943     20250515000001010000000001472600002030000024                    
69010684219      CONCEJO MUNICIPA0000104033639815       20250515000001860000000000007200002030000025                    
68915026648      MUNICIPIO DE ALM0000104033571187       20250515000002860000000000037800002030000026                    
68280020375      PERSONERIA MUNIC0000104033620326       20250515000001860000000000029900002030000027                    
6800099390       ALCALDIA MUNICIP000010517972682513     20250515000001510000000000007600002030000028                    
68320035493      CONCEJO MUNICIPA0000105286931134       20250515000001830000000000020800002030000029                    
6899999415       MUNICIPIO DE SES000010079486297064     20250515000004840000000000054500002030000030                    
68000285764      MUNICIPIO DE SUT0000104033640063       20250515000001860000000000021200002030000031                    
68915026648      MUNICIPIO DE ALM0000104033571150       20250515000019860000000000310100002030000032                    
68917800521      ALCALDIA MUNICIP000010011072377172     20250515000022880000000000305000002030000033                    
6826001934       CONCEJO MUNICIPA000010017973794625     20250515000001010000000000008200002030000034                    
68915026648      MUNICIPIO DE ALM0000104033571230       20250515000002860000000000038200002030000035                    
68000613133      MUNICIPIO DE GUA0000104033522151       20250515000030860000000000359700002030000036                    
68320066234      PERSONERIA TOPAI0000104033639812       20250515000002860000000000038200002030000037                    
68230017316      PERSONERIA MUNIC0000100733214551       20250415000002860000000000044600002030000038                    
68000285764      MUNICIPIO DE SUT0000104033640199       20250515000003860000000000027200002030000039                    
6890907106       SECRETARIA DE ED000010137972523792     20250515000001130000000000320900002030000040                    
6809002767       CONCEJO MUNICIPA000010517973778239     20250515000001510000000000014200002030000041                    
68915026648      MUNICIPIO DE ALM0000104033571325       20250515000001860000000000017800002030000042                    
6824000461       CONCEJO MUNICIPA000010407973244676     20250515000001400000000000008600002030000043                    
68915026648      MUNICIPIO DE ALM0000104033572843       20250515000001860000000000010500002030000044                    
68090050269      CONCEJO MUNICIPA0000104033581655       20250515000001860000000000007500002030000045                    
