1202505270238999990547     ESAP                                                                                         
5268836400        020101                                                                                                
68001039356      DEPARTAMENTO DE 0000102378028133       20250515000256890000000009424400002030000001                    
6800096746       ALCALDIA MUNICIP000010077972403517     20250515000001070000000000059400002030000002                    
6890680008       MUNICIPIO DE FUS000010329486433853     20250515000009840000000000164200002030000003                    
68923999991      GOBERNACION DEL 0000100133543158       20250515000028860000000000915400002030000004                    
6814006812       PERSONERIA MUNIC000010407972808495     20250515000001400000000000035900002030000005                    
6890680008       MUNICIPIO DE FUS000010329486434089     20250515000008840000000000128200002030000006                    
6800096746       ALCALDIA MUNICIP000010077972403207     20250515000001070000000000143700002030000007                    
6809000973       PERSONERIA MUNIC000010407972468791     20250515000001400000000000040600002030000008                    
6890680008       MUNICIPIO DE FUS000010079486434856     20250515000009840000000000272500002030000009                    
6814002131       CONCEJO MUNICIPA000010029485372775     20250415000001840000000000007700002030000010                    
6899999040       REGISTRADURIA NA000010027971412571     20250415000001020000000001438800002030000011                    
68080009882      CONCEJO MUNICIPA0000100285993630       20250415000001830000000000007800002030000012                    
68280025527      PERSONERIA MUNIC0000150733236410       20250415000001860000000000030200002030000013                    
68999997053      MUNICIPIO DE COT0000100778097973       20250515000127890000000002836900002030000014                    
6890680008       MUNICIPIO DE FUS000010329486433937     20250515000003840000000000069700002030000015                    
6899999040       REGISTRADURIA NA000010027966275329     20250315000001020000000000002000002030000016                    
6800255498       PERSONERIA DISTR000010517971267172     20250515000001510000000000690900002030000017                    
68280025527      PERSONERIA MUNIC0000101332919541       20250315000001860000000000082400002030000018                    
6809000069       PERSONERIA MUNIC000010137972669691     20250515000001130000000000085700002030000019                    
68002524061      PERSONERIA MUNIC0000100733498253       20250515000011860000000000174200002030000020                    
6800099714       MUNICIPIO DE BUS000010017972802179     20250515000001010000000000153400002030000021                    
6800255443       ALCALDIA MUNICIP000010077972327454     20250515000001070000000000238600002030000022                    
6890680008       MUNICIPIO DE FUS000010329486433631     20250515000343840000000008676900002030000023                    
68911800240      ALCALDIA MUNICIP0000104033547572       20250515000033860000000000405900002030000024                    
68400005940      PERSONERIA MPAL 0000100733267335       20250415000002860000000000038800002030000025                    
