1202506050238999990547     ESAP                                                                                         
5268836400        020101                                                                                                
6890309611       MUNICIPIO CALIMA000010019486213900     20250515000002840000000000039000002030000001                    
6812001675       ALCALDIA MUNICIP000010079487188621     20250515000043840000000000487400002030000002                    
6892099233       ALCALDIA DE MITU000010079487188228     20250515000061840000000000918200002030000003                    
6890309611       MUNICIPIO CALIMA000010019487190510     20250515000011840000000000079200002030000004                    
6892170008       MUNICIPIO DE FON000010079487166514     20250515000005840000000000063500002030000005                    
69009099380      CONCEJO MUNICIPA0000105286710475       20250515000001830000000000007200002030000006                    
6800096763       ALCALDIA MUNICIP000010019487190567     20250515000015840000000000106100002030000007                    
6890309611       MUNICIPIO CALIMA000010019487093913     20250515000052840000000000672800002030000008                    
6800254877       FONDOS COMUNES D000010019486886846     20250515000003840000000000068800002030000009                    
6890309611       MUNICIPIO CALIMA000010019486216097     20250515000001840000000000018100002030000010                    
6800103920       DEPARTAMENTO DEL000010519486927072     20250515000277840000000009282200002030000011                    
6899999465       ALCALDIA MUNICIP000010079487143972     20250515000323840000000007079100002030000012                    
6812001675       ALCALDIA MUNICIP000010079487134643     20250515000009840000000000126200002030000013                    
6800103318       MUNICIPIO DE SAN000010407973105420     20250515000001400000000000236800002030000014                    
6800096763       ALCALDIA MUNICIP000010019487189132     20250515000136840000000001598100002030000015                    
68230029087      PERSONERIA MUNIC0000100186739197       20250515000002830000000000036800002030000016                    
6809004404       CONCEJO MUNICIPA000010077973905151     20250515000001070000000000012400002030000017                    
68000965804      ALCALDIA MUNICIP0000101333607178       20250515000016860000000000242600002030000018                    
68000226188      MUNICIPIO SAN JO0000100733621672       20250515000013860000000000220600002030000019                    
6890981880       MUNICIPIO DE BEL000010079487193171     20250515000019840000000000292100002030000020                    
6826000643       CONCEJO MUNICIPA000010407974020569     20250515000001400000000000007200002030000021                    
6846000382       PERSONERIA MUNIC000010079486957845     20250515000001840000000000029900002030000022                    
68999993258      MUNICIPIO DE MAD0000100786916495       20250515000260830000000006097500002030000023                    
68909823211      MUNICIPIO DE BET0000105178342342       20250515000033890000000000433800002030000024                    
6890984376       MUNICIPIO DE SAN000010077974009174     20250515000001070000000000522700002030000025                    
6820000370       CONCEJO MUNICIPA000010519487192196     20250515000003840000000000078300002030000026                    
6800008456       MUNICIPIO DE MAN000010079486483565     20250515000001840000000000013500002030000027                    
6823000135       CONCEJO MUNICIPA000010517972430859     20250515000001510000000000191300002030000028                    
68999993423      MUNICIPIO DE MOS000010071073056075     20250515000343880000000008756500002030000029                    
6890982068       MUNICIPIO DE ENT000010077974000460     20250515000001070000000001001800002030000030                    
6899999443       MUNICIPIO DE TAB000010079487195884     20250515000106840000000001469000002030000031                    
68000967707      MUNICIPIO DE PUE0000100733607534       20250515000027860000000000319900002030000032                    
68999994138      MUNICIPIO DE PUE0000100733643429       20250515000001860000000000016200002030000033                    
6891480032       MUNICIPIO DE QUI000010519487195678     20250515000061840000000000837900002030000034                    
68900016391      GOBERNACION DEL 0000102333585342       20250515000006860000000000101800002030000035                    
6800104060       MUNICIPIO DE CON000010407974044271     20250615000001400000000000034900002030000036                    
6800113389       ALCALDIA MUNICIP000010027968047005     20250215000001020000000000036000002030000037                    
6814002721       PERSONERIA MUNIC000010327974018947     20250515000001320000000000037500002030000038                    
6804007570       PERSONERIA MUNIC000010407973669278     20250515000001400000000000037100002030000039                    
68917800926      CONTRALORIA DEPA0000105133571075       20250515000001860000000000005500002030000040                    
68999994138      MUNICIPIO DE PUE0000100733554743       20250515000001860000000000029900002030000041                    
6801000031       PERSONERIA DE CI000010519486442308     20250515000002840000000000041500002030000042                    
6891801357       MUNICIPIO DE CHI000010407973630053     20250515000001400000000000130800002030000043                    
6890001044       ALCALDIA MUNICIP000010519487191087     20250515000055840000000000561100002030000044                    
6800099310       MUNICIPIO DE  DO000010239486903729     20250515000394840000000008993800002030000045                    
68140027128      CONCEJO MUNICIPA0000100733660311       20250515000001860000000000009200002030000046                    
6890209666       ALCALDIA MUNICIP000010077973024102     20250515000001070000000000201100002030000047                    
6800103318       MUNICIPIO DE SAN000010407973999200     20250515000001400000000000007200002030000048                    
6899999314       MUNICIPIO DE SUB000010077974032281     20250515000001070000000000847500002030000049                    
6804008194       CONCEJO MUNICIPA000010407973669561     20250515000001400000000000009400002030000050                    
6892099324       MUNICIPIO DE VIL000010019486690531     20250515000904840000000024329300002030000051                    
6892280063       ALCALDIA DE SAN 000010407973481775     20250515000001400000000000479900002030000052                    
6800113389       ALCALDIA MUNICIP000010027961780076     20250115000001020000000000017000002030000053                    
6800113389       ALCALDIA MUNICIP000010027969551203     20250315000001020000000000043400002030000054                    
6817003440       MUNICIPIO DE SUC000010079486890134     20250515000020840000000000267600002030000055                    
6800099310       MUNICIPIO DE  DO000010239486738058     20250515000038840000000000770800002030000056                    
6891502397       MUNICIPIO DE MER000010079487191562     20250515000033840000000000409100002030000057                    
6890001044       ALCALDIA MUNICIP000010519486572538     20250515000001840000000000015000002030000058                    
69000934821      PERSONERIA MUNIC0000100177780536       20250415000002890000000000043400002030000059                    
6800050791       ALCALDIA MUNICIP000010407973151597     20250515000001400000000000231100002030000060                    
6890985285       MUNICIPIO DE VEG000010517973518075     20250515000001510000000000666800002030000061                    
68920993243      SECRETARIA DE ED0000100133523231       20250515000201860000000004924300002030000062                    
68000965804      ALCALDIA MUNICIP0000101333607521       20250515000004860000000000030200002030000063                    
6806002302       PERSONERIA MUNIC000010019486147427     20250515000001840000000000030000002030000064                    
6800099079       MUNICIPIO EL ROS000010409486884375     20250515000002840000000000035100002030000065                    
68908011463      ALCALDIA MUNICIP0000104033660988       20250515000017860000000000249300002030000066                    
68999991728      SECRETARIA DE ED0000100733543079       20250515000647860000000020022700002030000067                    
68999991140      GOBERNACION DE C000010511073103028     20250515001502880000000054607400002030000068                    
68000965804      ALCALDIA MUNICIP0000101333607598       20250515000003860000000000034300002030000069                    
