1202506060238999990547     ESAP                                                                                         
5268836400        020101                                                                                                
6824000510       PERSONERIA MUNIC000010018636364983     20250501000002860000000000040600002030000001                    
6890003017       CONTRALORIA GENE000010517973202329     20250515000001510000000000883300002030000002                    
6800103161       ALCALDIA MUNICIP000010017973737923     20250515000001010000000000359600002030000003                    
6890505717       CONCEJO MUNICIPA000010139487242541     20250515000030840000000000537800002030000004                    
68999993272      UAE FONDO NACION0000100286804122       20250515000021830000000000598500002030000005                    
6800103161       ALCALDIA MUNICIP000010017974067778     20250515000001010000000000085900002030000006                    
6822001228       DIRECCION SECCIO000010029487082128     20221215000001840000000000010300002030000007                    
6800103161       ALCALDIA MUNICIP000010017974069266     20250515000001010000000000027300002030000008                    
6800103161       ALCALDIA MUNICIP000010017974069576     20250515000001010000000000039900002030000009                    
6800103161       ALCALDIA MUNICIP000010017974070051     20250515000001010000000000009000002030000010                    
6800096592       MUNICIPIO DE EL 000010077972543149     20250515000001070000000001102800002030000011                    
6891801244       MUNICIPIO DE RAQ000010139487247246     20250515000004840000000000057800002030000012                    
6822001228       DIRECCION SECCIO000010029487082567     20220615000001840000000000017500002030000013                    
68924000382      GOBERNACION DE S0000100178128168       20250515000459890000000011590600002030000014                    
6891801244       MUNICIPIO DE RAQ000010079487248417     20250515000001840000000000009200002030000015                    
6890206058       MUNICIPIO DE CON000010077974251056     20250515000001070000000000190900002030000016                    
6901786880       DIRECCION SECCIO000010529484433369     20250215000001840000000000005900002030000017                    
6901786880       DIRECCION SECCIO000010529484575900     20250215000001840000000000031600002030000018                    
6901786880       DIRECCION SECCIO000010529485758219     20250215000001840000000000005200002030000019                    
6901786880       DIRECCION SECCIO000010529485758446     20250215000001840000000000003800002030000020                    
6901786880       DIRECCION SECCIO000010529485759101     20250215000001840000000000013900002030000021                    
6901786880       DIRECCION SECCIO000010529486895686     20250415000001840000000000009900002030000022                    
6890206058       MUNICIPIO DE CON000010077974254268     20250515000001070000000000029000002030000023                    
6891801244       MUNICIPIO DE RAQ000010079487247690     20250515000004840000000000038400002030000024                    
6819003134       PERSONERIA MUNIC000010017973981931     20250515000001010000000000034100002030000025                    
6891801244       MUNICIPIO DE RAQ000010079487248617     20250515000002840000000000039100002030000026                    
6890680149       ALCALDIA DE AGUA000010529487190121     20250515000043840000000000504700002030000027                    
6890206058       MUNICIPIO DE CON000010077974255906     20250515000001070000000000007200002030000028                    
6800050791       ALCALDIA MUNICIP000010407974261248     20250515000001400000000000007700002030000029                    
6891180176       MUNICIPIO DE GIG000010017973083214     20250515000001010000000000546200002030000030                    
68909840302      MUNICIPIO DE YOL0000100777812649       20250515000036890000000000544800002030000031                    
6890801137       MUNICIPIO DE PEN000010519486514460     20250515000002840000000000039200002030000032                    
6890701933       MUNICIPIO DE MEL000010519487251566     20250515000159840000000002707100002030000033                    
6811009017       MUNICIPIO DE LA 000010077974204856     20250515000001070000000000806300002030000034                    
6890206058       MUNICIPIO DE CON000010407974260535     20250515000001400000000000044900002030000035                    
6822001228       DIRECCION SECCIO000010029487085134     20201015000003840000000000001200002030000036                    
6890207022       MUNICIPIO DE SAN000010407974167594     20250515000001400000000000410200002030000037                    
6822001228       DIRECCION SECCIO000010029487079725     20200715000001840000000000005300002030000038                    
6890982489       MUNICIPIO DE ANO000010407973730732     20250315000001400000000000011900002030000039                    
6821000557       CONCEJO MUNICIPA000010079487215680     20250515000001840000000000010900002030000040                    
6822001228       DIRECCION SECCIO000010029487081865     20131115000001840000000000000500002030000041                    
6890801137       MUNICIPIO DE PEN000010519487252166     20250515000029840000000000293500002030000042                    
6800099260       MUNICIPIO DE SAN000010077974284086     20250515000001070000000000305100002030000043                    
6822001228       DIRECCION SECCIO000010029487083292     20211115000001840000000000003000002030000044                    
6890205632       MUNICIPIO DE MOG000010407973668085     20250515000001400000000000262000002030000045                    
6822001228       DIRECCION SECCIO000010029487084250     20210815000001840000000000000400002030000046                    
6800074120       MUNICIPIO DE PAR000010019487224386     20250515000048840000000000677900002030000047                    
6822001228       DIRECCION SECCIO000010029487081791     20130615000001840000000000000500002030000048                    
6800008456       MUNICIPIO DE MAN000010079487243637     20250515000070840000000001122200002030000049                    
6900074758       CONCEJO MUNICIPA000010139487138672     20250515000001840000000000007200002030000050                    
6822001228       DIRECCION SECCIO000010029487085682     20210315000001840000000000000400002030000051                    
6891855015       MUNICIPIO PAZ DE000010519487256378     20250515000001840000000000008000002030000052                    
6890208119       MUNICIPIO DE BET000010409487256189     20250515000002840000000000041400002030000053                    
6800099691       MUNICIPIO DE GAM000010407974292712     20250515000001400000000000021200002030000054                    
6800060525       MUNICIPIO DE PUE000010017974290061     20250515000001010000000000044200002030000055                    
6800099691       MUNICIPIO DE GAM000010407974290191     20250515000001400000000000014200002030000056                    
6890801137       MUNICIPIO DE PEN000010519486517068     20250515000001840000000000009300002030000057                    
